call_id,leader,leader_url,members
1762595170.7779755,1757480778.1894383,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1757480778.1894383.wav,"['1757480778.1894383', '1762073420.2024174', '1761983070.1249089', '1762595170.7779755', '1757580552.2896348']"
1762594646.7768749,1756184651.23079316,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1756184651.23079316.wav,"['1754644303.11031192', '1756184651.23079316', '1756716976.2792668', '1757899656.2070628', '1754993895.13760463', '1759220389.14510098', '1761878530.165001', '1758867073.11113522', '1755929604.21268150', '1755675502.19236850', '1755244152.15807677', '1762594646.7768749', '1756718448.2818219', '1754016283.6006203', '1739262261.53359934', '1753337804.1352667', '1756522567.1529639']"
1762594276.7761085,1752667863.9628376,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1752667863.9628376.wav,"['1752667863.9628376', '1753514870.2712646', '1757679912.738874', '1755247401.15869789', '1752808697.10600614', '1752566571.8727294', '1758863784.11054577', '1749965768.843713', '1747626840.22236937', '1752655845.9474058', '1761290790.5146318', '1754387969.8758070', '1751091938.8750538', '1754470492.9363217', '1755767518.20096417', '1749291784.32667685', '1752028426.4474331', '1761805280.10247644', '1755256356.16005224', '1756366401.465599']"
1762593881.7752849,1758876685.11333237,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1758876685.11333237.wav,"['1758876685.11333237', '1751426527.187771', '1752739192.10136979', '1742194221.69044680', '1762593881.7752849', '1761796584.10100735', '1750927278.7683961', '1759907687.19910441', '1762420791.5690183', '1759212221.14335109', '1757040671.5087401', '1751104481.8929000', '1742351563.69933538']"
1762591758.7706109,1741767163.66891509,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1741767163.66891509.wav,"['1741767163.66891509', '1762591758.7706109', '1757921082.2490427', '1743149643.74750400']"
1762591290.7695305,1760755395.3392515,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1760755395.3392515.wav,"['1759906798.19890929', '1761986043.1321614', '1760755395.3392515', '1761906484.670373', '1761558378.7698476', '1761553522.7579412', '1760596876.1806003', '1761741127.9779208', '1760950283.1418742', '1759919526.20140045', '1762591290.7695305']"
1762590477.7676797,1760600436.1903215,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1760600436.1903215.wav,"['1760691000.2982755', '1759136005.13741390', '1760600436.1903215', '1760091940.22068468', '1762590477.7676797', '1758796469.10612596', '1761038442.2476029', '1761287901.5077860', '1761291370.5160256', '1760238428.1139365', '1759828594.19293308']"
1762589364.7650126,1760755395.3392515,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1760755395.3392515.wav,"['1759906798.19890929', '1761986043.1321614', '1760755395.3392515', '1761906484.670373', '1762589364.7650126', '1761558378.7698476', '1761553522.7579412', '1760596876.1806003', '1761741127.9779208', '1760950283.1418742', '1759919526.20140045']"
1762587852.7612887,1762081857.2128466,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1762081857.2128466.wav,"['1762081857.2128466', '1762587852.7612887', '1761469945.6778578', '1762509256.6708726', '1761470827.6791337']"
1762587467.7601990,1760755395.3392515,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1760755395.3392515.wav,"['1759906798.19890929', '1761986043.1321614', '1760755395.3392515', '1761906484.670373', '1761558378.7698476', '1762587467.7601990', '1761553522.7579412', '1760596876.1806003', '1761741127.9779208', '1760950283.1418742', '1759919526.20140045', '1762341049.4881626']"
